Location,Code,GeographicLevel
REGION I (ILOCOS REGION),010000000,Reg
ILOCOS NORTE,012800000,Prov
ADAMS,012801000,Mun
ADAMS (POB.),012801001,Bgy
BACARRA,012802000,Mun
BANI,012802001,Bgy
BUYON,012802002,Bgy
CABARUAN,012802003,Bgy
CABULALAAN,012802004,Bgy
CABUSLIGAN,012802005,Bgy
CADARATAN,012802006,Bgy
CALIOET-LIBONG,012802007,Bgy
CASILIAN,012802008,Bgy
COROCOR,012802009,Bgy
DURIPES,012802011,Bgy
GANAGAN,012802012,Bgy
LIBTONG,012802013,Bgy
MACUPIT,012802014,Bgy
NAMBARAN,012802015,Bgy
NATBA,012802016,Bgy
PANINAAN,012802017,Bgy
PASIOCAN,012802018,Bgy
PASNGAL,012802019,Bgy
PIPIAS,012802020,Bgy
PULANGI,012802021,Bgy
PUNGTO,012802022,Bgy
SAN AGUSTIN I (POB.),012802024,Bgy
SAN AGUSTIN II (POB.),012802025,Bgy
SAN ANDRES I (POB.),012802027,Bgy
SAN ANDRES II (POB.),012802028,Bgy
SAN GABRIEL I (POB.),012802030,Bgy
SAN GABRIEL II (POB.),012802031,Bgy
SAN PEDRO I (POB.),012802033,Bgy
SAN PEDRO II (POB.),012802034,Bgy
SAN ROQUE I (POB.),012802036,Bgy
SAN ROQUE II (POB.),012802037,Bgy
SAN SIMON I (POB.),012802039,Bgy
SAN SIMON II (POB.),012802040,Bgy
SAN VICENTE (POB.),012802041,Bgy
SANGIL,012802042,Bgy
SANTA FILOMENA I (POB.),012802044,Bgy
SANTA FILOMENA II (POB.),012802045,Bgy
SANTA RITA (POB.),012802046,Bgy
SANTO CRISTO I (POB.),012802047,Bgy
SANTO CRISTO II (POB.),012802048,Bgy
TAMBIDAO,012802050,Bgy
TEPPANG,012802051,Bgy
TUBBURAN,012802052,Bgy
BADOC,012803000,Mun
ALAY-NANGBABAAN (ALAY 15-B),012803001,Bgy
ALOGOOG,012803002,Bgy
AR-ARUSIP,012803003,Bgy
ARING,012803004,Bgy
BALBALDEZ,012803005,Bgy
BATO,012803006,Bgy
CAMANGA,012803007,Bgy
CANAAN (POB.),012803008,Bgy
CARAITAN,012803009,Bgy
GABUT NORTE,012803011,Bgy
GABUT SUR,012803012,Bgy
GARRETA (POB.),012803013,Bgy
LABUT,012803016,Bgy
LACUBEN,012803017,Bgy
LUBIGAN,012803018,Bgy
MABUSAG NORTE,012803020,Bgy
MABUSAG SUR,012803021,Bgy
MADUPAYAS,012803022,Bgy
MORONG,012803023,Bgy
NAGREBCAN,012803025,Bgy
NAPU,012803026,Bgy
LA VIRGEN MILAGROSA (PAGUETPET),012803027,Bgy
PAGSANAHAN NORTE,012803028,Bgy
PAGSANAHAN SUR,012803029,Bgy
PALTIT,012803030,Bgy
PARANG,012803031,Bgy
PASUC,012803032,Bgy
